Filename,5800x_l.tif,5800x_l.tif,9700c.tif,9700d.tif,9700x.tif,9700x.tif,9700xh.tif,9700xh.tif,9700x_r.tif,13500x_n.tif,24500xj.tif,CM100-5.tif
C244,203.502,245.051,98.338,99.020,155.979,73.212,198.611,109.988,160.287,210.203,159.197,106.336
C245,207.903,245.820,97.629,99.624,155.854,73.089,198.818,111.806,160.337,209.088,158.597,106.397
C246,212.305,246.589,97.301,100.716,155.729,72.967,199.026,113.624,160.387,207.974,157.997,106.458
C247,216.706,247.358,97.305,101.809,155.605,72.845,199.233,115.442,160.437,206.860,157.396,106.519
C248,221.107,248.127,97.309,102.901,155.480,72.722,199.440,117.260,160.487,205.745,156.796,106.580
C249,225.509,248.897,97.313,103.993,155.355,72.600,199.647,119.079,160.537,204.631,156.196,106.640
C250,229.910,249.666,97.317,105.086,155.231,72.478,199.854,120.897,160.587,203.516,155.596,106.701
C251,234.311,250.435,97.321,106.178,155.106,72.356,200.061,122.715,160.637,202.402,154.996,106.762
C252,230.897,251.204,97.325,107.271,154.981,72.233,200.268,124.533,160.687,201.288,154.395,106.823
C253,224.391,251.973,97.329,108.363,154.857,72.111,200.475,126.352,160.737,200.173,153.795,106.884
C254,220.011,252.742,97.333,109.456,154.732,71.799,200.683,128.170,160.787,199.059,153.195,106.944
C255,215.631,253.511,97.337,110.548,154.607,71.346,200.890,127.215,160.837,197.945,152.595,107.005
C256,211.250,253.773,97.341,112.209,154.483,70.892,201.097,126.028,160.887,196.830,151.994,107.066
C257,206.870,253.667,97.345,114.627,154.358,70.439,201.304,124.841,160.937,195.716,151.394,107.127
C258,202.490,253.561,97.504,117.046,152.599,69.986,201.511,123.654,160.987,194.602,150.794,107.188
C259,198.110,253.455,97.930,119.464,150.195,69.533,201.718,122.467,161.037,193.487,150.194,107.248
C260,193.730,253.349,98.356,121.882,147.791,69.080,201.925,121.280,161.087,192.373,149.594,107.309
C261,189.350,253.242,98.781,124.300,145.388,68.627,202.132,120.093,161.137,191.258,148.993,107.370
C262,184.970,253.136,99.207,126.718,142.984,68.174,202.340,118.906,161.187,190.144,148.393,107.431
