Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C452,44.548,90.511,0.000,134.134,197.489
C453,44.298,89.984,0.000,133.290,198.707
C454,44.048,89.456,0.000,132.446,199.924
C455,43.798,88.929,0.000,131.602,201.142
C456,43.548,88.402,0.000,130.758,202.359
C457,43.298,87.874,0.000,129.914,203.095
C458,43.048,87.347,0.000,129.070,202.948
C459,42.798,86.820,0.000,128.226,202.800
C460,42.548,86.292,0.000,127.382,202.653
C461,42.298,85.765,0.000,126.538,202.506
C462,42.048,85.238,0.000,125.693,202.358
C463,41.798,84.148,0.000,124.862,202.211
C464,41.548,81.202,0.000,125.967,202.063
C465,41.298,78.257,0.000,127.072,201.916
C466,41.048,75.312,0.000,128.178,201.769
C467,40.798,72.367,0.000,129.283,201.335
C468,40.548,69.421,0.000,130.388,200.879
C469,40.298,66.476,0.000,131.493,200.423
C470,40.048,63.531,0.000,132.598,199.967
C471,39.798,60.586,0.000,133.704,199.511
C472,39.548,57.640,0.000,134.809,199.055
C473,39.299,54.695,0.000,135.914,198.599
C474,39.049,51.750,0.000,137.019,198.143
C475,38.799,48.805,0.000,138.124,197.688
C476,38.549,45.859,0.000,139.229,197.232
C477,38.299,42.914,0.000,140.335,196.776
C478,38.049,39.969,0.000,139.987,196.320
C479,37.799,37.024,0.000,138.855,195.864
C480,37.549,34.078,0.000,137.723,195.408
C481,37.299,31.133,0.000,136.591,194.952
C482,37.049,28.188,0.000,135.459,194.496
C483,36.799,32.050,0.000,134.327,194.041
C484,35.617,39.202,0.000,133.196,193.585
C485,33.824,46.355,0.000,132.064,193.129
C486,32.031,53.507,0.000,130.932,192.673
C487,30.237,60.659,0.000,129.800,192.217
C488,28.444,67.811,0.000,128.668,191.761
C489,26.651,74.963,0.000,127.536,191.305
C490,24.858,82.115,0.000,126.405,190.849
C491,23.065,89.267,0.000,125.273,190.393
C492,21.272,96.419,0.000,124.141,189.938
C493,19.479,103.571,0.000,123.009,189.482
C494,17.686,110.723,0.000,121.877,189.026
C495,15.893,115.648,0.000,120.745,188.570
C496,14.099,120.134,0.000,119.614,188.114
C497,12.306,124.620,0.000,118.482,187.658
C498,10.513,129.105,0.000,117.350,187.202
C499,8.720,133.591,0.000,116.218,186.746
C500,6.927,138.077,0.000,115.086,186.291
C501,5.134,142.563,0.000,113.954,185.835
C502,3.341,147.048,0.000,112.823,185.379
C503,1.548,151.534,0.000,111.691,184.923
C504,0.245,156.020,0.000,110.559,184.467
C505,2.038,156.530,0.000,109.427,184.011
C506,2.423,156.694,0.000,107.689,183.555
C507,2.177,156.857,0.000,105.005,183.099
C508,1.930,157.020,0.000,102.322,182.644
C509,1.683,157.184,0.000,99.638,182.188
C510,1.436,157.347,0.000,96.955,181.732
C511,1.189,157.510,0.000,94.271,181.276
C512,0.942,157.674,0.000,91.587,180.820
C513,0.695,157.837,0.000,88.904,180.364
C514,0.448,158.001,0.000,86.220,179.908
C515,0.201,158.164,0.000,83.537,179.452
C516,0.046,158.327,0.000,80.853,178.997
C517,0.293,158.491,0.000,78.170,178.541
C518,0.539,158.654,0.000,75.486,178.085
C519,0.786,158.817,0.000,72.803,177.629
C520,1.033,158.981,0.000,70.119,177.173
C521,1.280,159.144,0.000,67.435,176.717
C522,1.527,159.307,0.000,66.155,176.261
C523,1.774,159.471,0.000,67.403,175.805
C524,2.021,159.634,0.000,68.652,175.349
C525,2.268,159.797,0.000,69.900,174.894
C526,2.515,159.961,0.000,71.149,174.438
C527,2.762,160.124,0.000,72.397,173.982
C528,2.995,160.213,0.000,73.646,173.526
C529,3.127,157.037,0.000,74.894,173.070
C530,3.258,153.860,0.000,76.143,172.614
C531,3.390,150.684,0.000,77.391,172.158
C532,3.522,147.507,0.000,78.640,171.702
C533,3.654,144.931,0.000,79.888,171.247
C534,3.786,143.070,0.000,81.137,170.791
C535,3.918,141.209,0.000,82.385,170.335
C536,4.050,139.348,0.000,83.634,169.879
C537,4.182,137.487,0.000,84.882,169.423
C538,4.314,135.626,0.000,86.131,168.967
C539,4.446,133.764,0.000,87.379,168.511
C540,4.578,131.903,0.000,88.628,168.055
C541,4.710,130.042,0.000,89.876,167.600
C542,4.842,128.181,0.000,91.125,167.144
C543,4.974,126.320,0.000,92.373,166.688
C544,5.106,124.459,0.000,93.622,166.232
C545,5.322,122.598,0.000,94.870,165.776
C546,5.542,120.736,0.000,96.119,165.320
C547,5.762,118.875,0.000,97.367,164.864
C548,5.982,117.014,0.000,98.616,164.408
C549,6.203,115.153,0.000,99.864,163.953
C550,6.423,113.292,0.000,101.113,163.497
C551,6.643,111.431,0.000,102.361,163.041
C552,6.863,109.570,0.000,103.610,162.585
C553,7.083,107.708,0.000,104.858,162.129
C554,7.303,105.847,0.000,106.107,161.673
C555,7.523,103.986,0.000,107.355,161.217
C556,7.744,102.125,0.000,108.604,160.761
C557,7.964,100.264,0.000,109.852,160.306
C558,8.184,98.403,0.000,111.101,159.850
C559,8.404,96.542,0.000,112.349,159.394
C560,8.624,94.680,0.000,113.598,158.938
C561,8.844,92.819,0.000,114.846,158.482
C562,9.590,90.958,0.000,116.095,158.026
C563,11.763,89.097,0.000,117.343,157.570
C564,13.936,87.236,0.000,118.592,157.114
C565,16.110,85.375,0.000,119.840,156.658
C566,18.283,83.513,0.000,121.089,156.203
C567,20.456,81.652,0.000,122.337,155.747
C568,21.046,79.791,0.000,123.586,155.291
C569,21.048,77.930,0.000,124.834,154.835
C570,21.049,76.069,0.000,126.083,154.379
C571,21.051,74.208,0.000,127.331,153.923
C572,21.052,72.347,0.000,128.580,153.467
C573,21.054,70.485,0.000,129.828,153.011
C574,21.055,68.624,0.000,131.044,152.556
C575,21.057,66.763,0.000,131.765,152.100
C576,21.058,64.902,0.000,132.486,151.644
C577,21.060,63.041,0.000,133.207,151.188
C578,21.061,61.180,0.000,133.928,150.732
C579,21.063,59.319,0.000,134.649,150.276
C580,21.064,57.457,0.000,135.370,149.820
C581,21.066,55.596,0.000,136.091,149.364
C582,21.067,53.735,0.000,136.812,148.909
C583,21.069,51.874,0.000,137.533,148.453
C584,21.070,50.013,0.000,138.254,147.997
C585,21.072,48.152,0.000,138.975,147.541
C586,21.073,46.291,0.000,139.696,147.085
C587,21.075,44.429,0.000,140.417,146.629
C588,21.076,42.568,0.000,141.138,146.173
C589,21.078,40.707,0.000,141.859,145.717
C590,21.079,38.846,0.000,142.580,145.262
C591,21.081,36.985,0.000,143.301,144.806
C592,21.082,35.348,0.000,144.022,144.350
C593,21.084,35.671,0.000,144.743,143.894
C594,21.085,35.993,0.000,145.464,143.438
C595,21.087,35.124,0.000,146.185,142.982
