Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C67,124.335,185.025,96.702,396.570,146.692,332.864,202.391,174.748,215.550,39.893,105.422,97.027,527.367,209.126,54.961,15.844,92.593,63.562,98.879,69.416,96.020,37.676,89.102,11.193,20.662,97.067,73.417,44.385,75.251,109.442,61.723,32.560,28.538,50.950
C68,129.985,184.833,97.426,393.049,146.505,331.501,202.894,175.055,215.366,39.650,106.219,96.646,527.523,208.544,54.340,18.143,92.194,62.830,99.944,70.126,95.117,37.646,90.316,10.829,18.665,95.110,73.591,45.259,74.188,109.174,61.078,32.435,28.501,50.143
C69,135.636,184.642,98.151,389.529,146.317,330.138,203.396,175.362,215.181,39.407,107.016,96.265,527.678,207.962,53.719,20.443,91.796,62.098,101.008,70.835,94.213,37.616,91.531,9.880,16.667,93.153,73.765,44.401,73.125,108.906,60.433,32.309,28.464,49.335
C70,141.287,184.450,98.875,386.008,146.130,328.776,203.899,175.668,214.997,39.164,107.812,95.884,527.834,207.380,53.097,22.743,91.397,61.366,102.073,71.545,93.310,37.586,92.745,8.918,14.670,91.197,73.939,43.540,72.061,108.638,59.789,32.184,28.427,48.528
C71,139.302,184.258,99.599,382.488,145.943,327.413,204.401,175.975,208.308,38.922,108.609,95.503,527.989,206.798,52.476,25.043,90.999,60.634,103.138,72.254,92.406,37.556,93.959,7.955,12.672,89.240,74.113,42.493,70.998,108.370,59.144,32.059,28.391,47.721
C72,136.452,184.066,100.323,378.967,145.755,326.050,204.903,176.282,201.619,38.679,109.406,95.122,528.144,206.216,51.855,27.342,90.600,59.902,104.203,72.964,91.503,37.526,95.174,6.992,11.159,87.283,74.287,41.446,69.935,108.102,58.499,31.934,28.354,46.913
C73,133.601,183.875,101.047,375.447,145.568,324.687,205.406,176.589,194.931,38.436,110.202,94.740,528.300,205.634,51.233,29.642,90.202,59.170,105.267,73.673,90.599,37.496,96.388,6.029,10.642,85.327,74.460,40.400,68.871,107.834,57.854,31.808,28.317,46.106
C74,130.751,183.683,101.771,371.926,145.380,323.324,205.908,176.896,188.242,38.193,110.999,94.359,528.455,205.053,50.612,31.942,90.943,58.438,106.332,74.383,89.696,37.466,97.602,5.066,10.125,83.370,74.634,39.353,67.808,107.566,57.210,31.683,28.280,45.298
C75,127.901,183.491,102.495,368.406,145.193,321.961,206.411,177.202,181.553,37.950,111.795,94.854,528.610,204.471,49.990,34.242,92.104,57.706,107.394,75.092,88.792,37.436,98.817,4.104,9.607,81.413,74.808,38.306,66.745,107.298,56.565,31.558,28.244,44.491
C76,125.051,183.299,103.219,364.885,145.005,320.598,206.913,177.509,174.864,37.707,112.592,97.950,528.766,203.889,49.369,36.541,93.264,56.974,108.322,75.802,87.889,37.406,100.031,3.141,9.090,79.457,74.982,37.260,65.681,107.030,55.920,31.433,28.207,43.684
