Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C363,49.580,56.360,49.633,33.911,84.597,103.335,82.784
C364,49.880,55.247,49.351,36.665,85.930,99.343,82.848
C365,50.181,54.134,49.069,39.419,87.264,95.351,82.913
C366,50.482,53.022,48.787,42.173,88.597,91.360,82.977
C367,50.783,51.909,48.505,44.927,89.930,87.368,83.042
C368,51.083,50.796,48.223,47.681,91.263,83.376,83.106
C369,51.238,49.684,47.941,50.435,92.596,79.385,82.570
C370,51.149,48.571,47.659,53.189,93.929,75.393,81.889
C371,51.061,47.458,47.377,55.943,95.262,71.401,81.208
C372,50.972,46.346,47.095,58.697,96.595,67.410,80.526
C373,50.883,45.612,46.813,61.451,97.929,63.418,79.845
C374,50.794,45.126,46.531,64.205,99.262,59.426,79.164
C375,50.705,44.639,46.249,66.959,100.595,55.435,78.482
C376,50.617,44.153,45.967,69.712,101.928,51.443,77.801
C377,50.528,43.667,45.685,72.466,103.261,47.451,77.120
C378,50.439,43.181,45.403,75.220,104.594,43.459,76.439
C379,50.350,42.695,45.121,77.974,105.927,39.468,75.757
C380,50.261,42.209,44.839,80.728,107.261,35.476,75.076
C381,50.173,41.723,44.557,83.482,108.594,31.969,74.395
C382,50.084,41.236,44.275,86.236,109.927,32.337,73.713
C383,49.995,40.750,43.993,88.990,111.260,32.705,73.032
C384,49.906,40.264,43.711,91.744,112.593,33.073,72.351
C385,49.817,39.778,43.242,94.498,113.926,33.441,71.669
C386,49.729,39.292,42.753,97.252,115.259,33.808,70.988
C387,49.640,38.806,42.263,100.006,116.593,34.176,70.307
C388,49.551,38.319,42.033,102.760,117.926,34.544,69.625
C389,49.462,37.833,42.306,105.514,119.259,34.912,68.944
C390,49.373,37.347,42.579,108.268,120.592,35.280,68.263
C391,49.285,36.861,42.852,110.334,121.925,35.648,67.581
C392,49.196,36.375,43.125,108.345,123.258,36.016,66.900
C393,49.107,35.889,43.398,106.356,124.591,36.384,66.219
C394,49.018,35.402,43.671,104.368,125.925,36.752,65.537
C395,48.929,34.916,43.944,102.379,127.258,37.120,64.856
C396,48.841,34.430,44.217,100.390,128.591,37.487,64.731
C397,48.752,33.944,44.490,98.402,129.924,37.855,64.746
C398,48.663,33.458,44.763,96.413,131.257,38.223,64.762
C399,48.574,32.972,45.036,94.424,132.590,38.591,64.778
C400,48.812,32.485,45.309,92.436,133.923,38.959,64.793
C401,49.351,31.999,45.582,90.447,135.257,39.327,64.809
C402,49.890,31.513,45.855,88.458,136.590,39.695,64.824
C403,50.430,31.027,46.127,88.059,137.175,40.063,64.840
